,tm1xvm1,tm1xum1,tm1xqm1,vm1xum1,vm1xqm1,um1xqm1
0,0.10647295610921684,0.26129764930348215,0.3134905208478613,0.12106693953765006,0.07595036286475103,0.21434429934902488
1,0.09650375170855113,0.23184241321527393,0.3526803236945683,0.10203025780411823,0.08994488791030139,0.21408752935989372
2,0.08777373571781891,0.25591370837060623,0.4092544455359086,0.0769178865284417,0.08440084915464023,0.24937880790641317
3,0.08319338125539427,0.25203023720638745,0.40436806419053256,0.06414717635307977,0.07941857791379803,0.21499409916726978
4,0.09290255926681089,0.28326135702860905,0.4033888792051595,0.09271059021970367,0.08717603629591485,0.21393524155013616
5,0.0969475103362489,0.321489327956814,0.3439743750906155,0.1083784991393522,0.08354832936214605,0.22818987633917992
6,0.12128734744040608,0.31041787774350055,0.31843800518892384,0.1320369966756207,0.0942940979804053,0.2539217254690139
7,0.10645365600312431,0.3124960951926808,0.37203567412987254,0.12055055599095629,0.07725102574046692,0.24451489221473394
8,0.09394971233742887,0.2829232793973653,0.41472196136498674,0.10087552405052728,0.07828677381609972,0.23805317208033464
9,0.10891958403139504,0.21236052390444596,0.3662898518483441,0.09696638657306075,0.09693622990328155,0.1732306966547817
10,0.0918904327365429,0.1490465817461075,0.3009410768832172,0.08598952297122012,0.07938333601228828,0.15754763061411658
11,0.08725630927882469,0.23705077238575123,0.3215631995624504,0.09206469085658095,0.07203588163244772,0.18399318566107978
12,0.09528978798919108,0.24635635604604117,0.2872928557046964,0.1087946215387858,0.07443360846781537,0.19795920770693679
13,0.07695839645189667,0.21366116587755002,0.35523261512020227,0.08227840274197672,0.0732722186251147,0.22943778263390743
14,0.08656418381942892,0.2542713710806641,0.41929024775544416,0.08434793257915434,0.06916264862772166,0.2516676126815188
15,0.09493138655011005,0.2272436229080627,0.39598422619000595,0.09328916633974227,0.09078205561526657,0.2022658442642013
16,0.10846112561093259,0.2516863310008668,0.38298780013284933,0.10369004458826556,0.08897706497511075,0.18649446814535678
17,0.11399414933339502,0.30936236966955183,0.3305901694245206,0.11883226035824783,0.0909163738253294,0.2363388862079223
18,0.12142558840608897,0.314809527912851,0.32836401170226054,0.1199476708924709,0.10104697983471984,0.2534503232464737
19,0.107940044360235,0.31214507212020115,0.38365842323452193,0.12341142129680273,0.0922163968849617,0.25967981113816274
20,0.10314159365123081,0.3056403129588234,0.42758180112400146,0.1262131018396537,0.07934640071428782,0.2477525981634674
21,0.11285070706814126,0.24609739954179752,0.3931803127572096,0.10605111938465117,0.08966189335905542,0.1932025785712425
22,0.10011998913562584,0.21166753245887218,0.33032314398829843,0.1029905576038373,0.08701112959525209,0.2116921215981764
23,0.0861695005448402,0.23784186111655334,0.3228780914610135,0.08887747764733649,0.07675038936522963,0.1939876447455888
24,0.08685352685907899,0.24406260403177277,0.30310285780015517,0.09208748893310015,0.07285110576396885,0.20488484940679513
25,0.09045871029937551,0.22457082378883983,0.36276024119399775,0.07964884603392644,0.07171137760523273,0.22069276891215703
26,0.09453215279131867,0.23448865321204534,0.443102226176822,0.08339686396417892,0.08669456542162499,0.22708549464889502
27,0.0913274786690153,0.2202246093884622,0.4204357167524462,0.08138715534122948,0.08726010968232274,0.2070029975699505
28,0.11068799543187346,0.2446481781190568,0.3620707728796143,0.10755414694251426,0.07765681430054734,0.19010482520795036
29,0.12605415627865812,0.3099050340171869,0.2988876026737447,0.12526797244974947,0.09400355959180284,0.22714987044713178
30,0.08986652969083894,0.3119232553556822,0.32149841589994044,0.09953702848643198,0.07681392493069736,0.2412864109702286
31,0.15247959038593129,0.27067643608136754,0.34147842536266665,0.13597768813230227,0.10863059599138598,0.2070496909857926
32,0.11125310710997358,0.22142044231862418,0.3971918299179848,0.07915372075433512,0.08958143349282485,0.19825439767503106
33,0.09570697706457272,0.24010713978209614,0.3913446200207186,0.09301861769123425,0.08285278207212643,0.20451556968068355
34,0.09122391813675232,0.19333235859839457,0.33465262053360245,0.0971900203579363,0.09081523604723514,0.17746467404872404
35,0.10592052194590239,0.24977207112915592,0.316217781164884,0.1116477489784377,0.08051848662418862,0.20764578914546267
36,0.09816363058653792,0.2445331245319794,0.30095183065510905,0.09751160271527996,0.07054616080610758,0.227220598248802
37,0.08821948406596737,0.24701777830873162,0.36038451221664447,0.1066323036441028,0.07511658158661598,0.2390597886227385
38,0.09900584806659204,0.25060170029570406,0.4142945448353667,0.08856732974407928,0.09362642665728065,0.25454867308823476
